record ID,pais,provincia,zona de especial proteccion para las aves,Kingdom,phylum,class,order,family,genus,species,year,month,date
5b77a105-ecc3-4f8d-9608-0e4c33a6930e,Argentina,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2015,8,20/8/2015
acf69ee6-e25f-40a3-9d09-317fa70b66bc,Argentina,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2018,5,11/5/2018
1ac16b93-a980-4383-8e7b-2241b68b52cd,Croatia,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,8,8/8/2017
306f9c80-e5f5-4edc-881d-fa65a529e9dd,Fiji,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,2,18/2/2017
3f81f5f6-ed06-49d9-930b-b0ea6682c4d7,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2015,9,8/9/2015
604da207-a38e-4631-81cd-b5a7920a6e1a,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2015,8,12/8/2015
b9123185-edb1-4352-bea1-fa68b89a101c,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2015,9,11/9/2015
2a3ef66a-a3c3-4aa0-8ade-225ea29b1d75,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,8,5/8/2017
8a4898ae-c4b1-48b6-b690-7783aaf8d2b0,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,2,22/2/2017
d4a1c1c9-4754-4c99-a7a9-e1553f88abc1,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,2,28/2/2017
d5c9dc6e-dafc-4ea2-a0ad-bca4c1c63795,France,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,8,6/8/2017
ec90ace9-af28-4548-b5a0-5daeaf1749a9,Gibraltar,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,8,29/8/2017
4376addc-1f58-4d9f-bc7d-124391b6c165,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2016,12,8/12/2016
beccdb9d-a1dd-4a01-befd-75fc8abb4295,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2016,11,20/11/2016
0e460b5b-36b2-4666-85b8-79d543373214,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
12b0a3db-a543-4556-98c4-de5f25a613ad,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,5,27/5/2017
13ff559b-5bbc-4077-9d94-27d7a5922396,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,5,27/5/2017
174be646-8092-4e66-8785-c58a3289867f,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
190dd8ef-3633-4f38-95fd-7773381f42f8,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
33333547-7cd1-44d3-8148-0a0994868d74,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,7,4/7/2017
40b20f27-6783-440c-9b9c-b41bbe58ccb5,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
467f894d-b674-4468-9250-2a4fa98f31dc,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
58301ca7-6b24-47c0-8a42-311f41e32005,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,5,27/5/2017
5a26e3c3-5517-457d-9b52-cb9e264a9204,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,5,27/5/2017
66bac77a-6344-45e1-bd20-d44d4e4126c0,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
67d37e31-9b09-4622-8294-19bcbff8e431,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,9,29/9/2017
82796aa8-741c-4fec-8241-f4c132748e09,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,17/6/2017
9d40fd23-da2f-4be4-9258-fe806df840ce,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,7,9/7/2017
a95a70d4-84c0-4534-9844-a87c8d131451,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,10,28/10/2017
b4441973-ce1e-4933-9d0a-8ed62b048341,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,6,7/6/2017
bec117fa-1924-4d61-98ac-ce8625189283,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,5,17/5/2017
d3a822b2-c357-4527-9572-ca05d378d7fd,Hong Kong,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,2017,7,24/7/2017
